ESP Time;Durchschnitt_L;Durchschnitt_R;Geschwindigkeit;Deichsel_Angle;Durchschnitt_L_SE;Durchschnitt_R_SE;Durchschnitt_L_SE2;Durchschnitt_R_SE2;Durchschnitt_L_Be_SE;Durchschnitt_R_Be_SE;Durchschnitt_L_Be_SE2;Durchschnitt_R_Be_SE2
1828;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1922;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2025;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2128;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2229;0.000000;0.000000;0.000000;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2330;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2424;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2529;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2627;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2726;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2825;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2927;0.000000;0.000000;0.000000;91.980003;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3026;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3124;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3225;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3328;0.000000;0.000000;0.000000;91.819992;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3428;0.000000;0.000000;0.000000;91.839996;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3525;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3628;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3725;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3826;0.000000;0.000000;0.000000;91.900002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3924;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4024;0.000000;0.000000;0.000000;91.900002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4125;0.000000;0.000000;0.000000;92.100006;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4225;0.000000;0.000000;-0.416667;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4328;0.000000;0.000000;-0.416667;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4425;0.000000;0.000000;-0.416667;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4527;0.000000;0.000000;-0.416667;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4622;0.000000;0.000000;-0.416667;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4722;0.000000;0.000000;-0.416667;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4822;0.000000;0.000000;-0.416667;91.980003;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4922;0.000000;0.000000;-0.416667;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5022;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5132;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5222;0.000000;0.000000;0.000000;92.120003;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5322;0.000000;0.000000;0.000000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5422;0.000000;0.000000;0.000000;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5522;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5622;0.000000;0.000000;0.208333;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5722;0.000000;0.000000;0.208333;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5822;0.000000;0.000000;0.208333;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5922;0.000000;0.000000;0.416667;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6022;0.000000;0.000000;0.833333;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6122;0.000000;0.000000;0.833333;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6222;0.000000;0.000000;1.458333;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6322;0.000000;0.000000;1.458333;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6422;0.000000;0.000000;1.666667;91.939995;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000
6522;29.000000;30.000000;1.666667;92.039993;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6622;29.000000;30.000000;1.666667;91.939995;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6722;29.000000;30.000000;2.291667;91.880005;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6822;29.000000;30.000000;2.500000;91.940002;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6922;57.000000;59.000000;2.500000;91.940002;8.000000;9.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7022;84.000000;84.000000;2.708333;92.000000;35.000000;34.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7122;84.000000;84.000000;2.708333;91.940002;35.000000;34.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7222;85.000000;83.000000;2.708333;91.900002;35.000000;34.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7327;85.000000;84.000000;2.916667;91.940002;35.000000;34.000000;0.000000;0.000000;34.000000;34.000000;0.000000;0.000000
7422;85.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
7526;85.000000;84.000000;2.916667;91.839996;35.000000;35.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7627;86.000000;85.000000;2.916667;91.880005;36.000000;36.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7727;85.000000;84.000000;2.916667;91.900002;36.000000;36.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7826;85.000000;84.000000;2.916667;91.880005;35.000000;35.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7927;87.000000;85.000000;2.916667;91.839996;36.000000;35.000000;0.000000;0.000000;35.000000;34.000000;0.000000;0.000000
8026;88.000000;87.000000;3.125000;91.839996;37.000000;36.000000;0.000000;0.000000;35.000000;35.000000;0.000000;0.000000
8125;87.000000;88.000000;3.125000;91.720001;36.000000;36.000000;0.000000;0.000000;35.000000;36.000000;0.000000;0.000000
8226;87.000000;90.000000;3.125000;91.720001;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8325;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8426;90.000000;90.000000;3.125000;91.660004;38.000000;38.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
8528;89.000000;89.000000;3.125000;91.660004;37.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8627;91.000000;90.000000;3.125000;91.539993;38.000000;38.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
8726;91.000000;90.000000;3.125000;91.720001;38.000000;37.000000;0.000000;0.000000;37.000000;37.000000;0.000000;0.000000
8828;91.000000;89.000000;3.125000;91.720001;38.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8926;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
